notify-error-empty-list,The list is empty,La liste est vide,La lista está vacía,De lijst is leeg,リストが空です。
notify-error-not-enough-item,Not enough items provided,Pas assez d'éléments fournis,No se han proporcionado suficientes elementos,Niet genoeg items verstrekt,提供された項目が不足しています。
notify-success-app-deletion,App deleted successfully,Application supprimée avec succès,Aplicación eliminada con éxito,App succesvol verwijderd,アプリが正常に削除されました。
notify-success-app-installation,App installed successfully,Application installée avec succès,Aplicación instalada con éxito,App succesvol geïnstalleerd,アプリが正常にインストールされました。
notify-success-app-store-addition,App store added successfully,Magasin d'applications ajouté avec succès,Tienda de aplicaciones añadida con éxito,App store succesvol toegevoegd,アプリストアが正常に追加されました。
notify-success-app-store-deletion,App store deleted successfully,Magasin d'applications supprimé avec succès,Tienda de aplicaciones eliminada con éxito,App store succesvol verwijderd,アプリストアが正常に削除されました。
notify-success-create-array-inputs,The array was successfully provisioned,Le tableau a été approvisionné avec succès,La matriz se aprovisionó correctamente,De array is succesvol ingericht,配列が正常にプロビジョニングされました。
notify-success-task-upload,The task has been successfully uploaded,La tâche a été chargée avec succès,La tarea se ha cargado con éxito,De taak is succesvol geüpload,タスクが正常にアップロードされました。
number-annotation-creations,Number of annotation creations,Nombre d'annotations créées,Número de anotaciones creadas,Aantal aangemaakte annotaties,アノテーション作成数
number,Number,Nombre,Número,Nummer,数
number-annotations-chart-info-message,This chart presents the number of annotation creations during the selected period,Ce graphique présente le nombre d'annotations créées durant la période sélectionnée,Este gráfico presenta el número de anotaciones creadas durante el período seleccionado.,Deze grafiek toont het aantal annotaties dat tijdens de geselecteerde periode is gemaakt,このグラフは選択期間中のアノテーション作成数を表示しています。
number-annotations,Number of annotations,Nombre d'annotations,Número de anotaciones,Aantal annotaties,アノテーション数
number-annotations-info-message,The number of annotations that you created,Le nombre d'annotations que vous avez créées,El número de anotaciones creadas por el usuario,Het aantal annotaties dat u heeft gemaakt,あなたが作成したアノテーションの数です。
number-connections,# connections,# connexions,# conexiones,# verbindingen,接続数
number-consultations,Number of consultations,Nombre de consultations,Número de consultas,Aantal consulten,閲覧回数
number-images-info-message,The number of images available in the projects of which you are a member,Le nombre d'images disponibles dans les projets dont vous êtes membre,El número de imágenes disponibles en los proyectos de los que es miembro,Het aantal beschikbare afbeeldingen in de projecten waarvan u lid bent,メンバーであるプロジェクトで利用可能な画像の数です。
number-jobs,Jobs,Exécutions,Trabajos,jobs,ジョブ
number-per-category,Number per category,Nombre par catégorie,Número por categoría,Aantal per categorie,カテゴリー別件数
number-per-page,Number per page,Nombre par page,Número por pagina,Aantal per pagina,1ページあたりの件数
number-projects-info-message,The number of projects of which you are a member,Le nombre de projets dont vous êtes membre,El número de proyectos de los que es miembro,Het aantal projecten waar u lid van bent,メンバーであるプロジェクトの数です。
number-reviewed-annotations-info-message,The number of annotations that you validated during a review,Le nombre d'annotations que vous avez validées,El número de anotaciones que validadas por el usuario durante una revisión,Het aantal annotaties dat u heeft gevalideerd,レビュー中に承認したアノテーションの数です。
number-reviewed-annotations,Number of reviewed annotations,Nombre d'annotations validées,Número de anotaciones revisadas,Aantal gevalideerde annotaties,レビュー済みアノテーション数
number-success,Successful jobs,Exécutions réussies,Trabajos exitosos,Succesvolle jobs,成功したジョブ
number-user-annotations,Number of user annotations,Nombre d'annotations manuelles,Número de anotaciones de usuario,Aantal handmatige annotaties,ユーザーアノテーション数
number-viewed-images,Number of viewed images,Nombre d'images consultées,Cantidad de imágenes vistas,Aantal bekeken afbeeldingen,閲覧済み画像数
offline,Offline users,Utilisateurs hors ligne,Usuarios sin conexión,Offline users,オフラインユーザー
ongoing,Ongoing,En cours,En marcha,Bezig,進行中
online-contributors,Online contributors,Contributeurs en ligne,Colaboradores en línea,Online bijdragers,オンラインのコントリビューター
online,Online,En ligne,En línea,Online,オンライン
online-managers,Online managers,Responsables en ligne,Administradores en línea,Online Managers,オンラインのマネージャー
online-users,Online users,Utilisateurs en ligne,Usuarios en línea,Online users,オンラインユーザー
ontologies,Ontologies,Ontologies,Ontologías,Ontologieën,オントロジー
ontology,Ontology,Ontologie,Ontología,Ontologie,オントロジー
opacity,Opacity,Opacité,Opacidad,ondoorzichtigheid,不透明度
open-admin-session,Open admin session,Ouvrir une session admin,Abrir sesión de administrador,Een adminsessie openen,管理者セッションを開く
open-image-group-by-batch-of,Open by batch of,Ouvrir par lot de,Abierto por lote de,Open per batch van,バッチ単位で開く
